,ZIPCODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,GROSS_SQUARE_FEET,AGE,TAX_CLASS,BUILDING_CLASS,SALE_PRICE
7400 ,11234 ,2 ,0 ,2250 ,57 ,1 ,14 ,730000 
7401 ,11234 ,3 ,0 ,3280 ,47 ,1 ,15 ,590000 
7402 ,11234 ,3 ,0 ,3630 ,27 ,1 ,15 ,685000 
7403 ,11234 ,3 ,0 ,2340 ,72 ,1 ,15 ,470000 
7404 ,11234 ,3 ,0 ,3164 ,52 ,1 ,15 ,855000 
7405 ,11234 ,3 ,0 ,2672 ,52 ,1 ,15 ,750000 
7406 ,11234 ,1 ,0 ,2250 ,1 ,1 ,182 ,650000 
7407 ,11234 ,1 ,0 ,2250 ,1 ,1 ,182 ,649000 
7408 ,11234 ,1 ,0 ,2250 ,1 ,1 ,182 ,650000 
7409 ,11234 ,0 ,1 ,4740 ,61 ,4 ,90 ,1545375 
7410 ,11234 ,1 ,1 ,2082 ,80 ,4 ,93 ,575000 
7411 ,11234 ,1 ,1 ,2120 ,97 ,4 ,93 ,635000 
7412 ,11234 ,0 ,1 ,3500 ,26 ,4 ,93 ,1025000 
7413 ,11234 ,0 ,2 ,30054 ,62 ,4 ,90 ,14500000 
7414 ,11234 ,0 ,1 ,14576 ,86 ,4 ,36 ,3100000 
7415 ,11217 ,1 ,0 ,1470 ,116 ,1 ,5 ,1915000 
7416 ,11217 ,1 ,0 ,4328 ,3 ,1 ,5 ,4250000 
7417 ,11217 ,1 ,0 ,4000 ,116 ,1 ,5 ,4795000 
7418 ,11215 ,1 ,0 ,11488 ,12 ,1 ,4 ,7500000 
7419 ,11215 ,1 ,1 ,2910 ,118 ,1 ,163 ,2625000 
7420 ,11215 ,1 ,0 ,4368 ,116 ,1 ,5 ,4950000 
7421 ,11215 ,1 ,0 ,2630 ,116 ,1 ,5 ,4900620 
7422 ,11215 ,1 ,0 ,3904 ,116 ,1 ,5 ,4900000 
7423 ,11215 ,1 ,0 ,3015 ,102 ,1 ,5 ,4830000 
7424 ,11215 ,1 ,0 ,2712 ,118 ,1 ,5 ,3572500 
7425 ,11215 ,1 ,0 ,2559 ,118 ,1 ,5 ,6129000 
7426 ,11215 ,1 ,0 ,2559 ,116 ,1 ,5 ,3600000 
7427 ,11217 ,2 ,0 ,1968 ,107 ,1 ,11 ,3191500 
7428 ,11217 ,2 ,0 ,2800 ,107 ,1 ,13 ,4495000 
7429 ,11217 ,2 ,1 ,2979 ,87 ,1 ,164 ,3300000 
7430 ,11217 ,2 ,0 ,1470 ,116 ,1 ,11 ,1975000 
7431 ,11217 ,2 ,0 ,3600 ,116 ,1 ,14 ,3200000 
7432 ,11217 ,2 ,0 ,3396 ,118 ,1 ,13 ,3400000 
7433 ,11217 ,2 ,0 ,2142 ,118 ,1 ,11 ,2760000 
7434 ,11217 ,2 ,0 ,3284 ,118 ,1 ,11 ,3950000 
7435 ,11217 ,2 ,0 ,1552 ,118 ,1 ,11 ,1900000 
7436 ,11217 ,2 ,0 ,1620 ,116 ,1 ,13 ,2300000 
7437 ,11217 ,2 ,0 ,3200 ,116 ,1 ,13 ,2140000 
7438 ,11217 ,2 ,0 ,3200 ,116 ,1 ,13 ,3250000 
7439 ,11217 ,2 ,0 ,3648 ,118 ,1 ,14 ,1158914 
7440 ,11217 ,2 ,0 ,2499 ,97 ,1 ,14 ,4100000 
7441 ,11215 ,2 ,0 ,1884 ,116 ,1 ,11 ,2475000 
7442 ,11215 ,2 ,0 ,1260 ,116 ,1 ,12 ,404000 
7443 ,11215 ,2 ,0 ,2430 ,97 ,1 ,11 ,2479000 
7444 ,11215 ,2 ,0 ,900 ,116 ,1 ,12 ,1620000 
